Query,Business Name,Street Address,Latitude,Longitude
"[""Hardee's""]",Hardee's,"1713 James L Redman Pkwy, Plant City, FL 33563, United States",27.9975761,-82.1220476
"[""Hardee's""]",Hardee's,"11705 US-92, Seffner, FL 33584, United States",28.0014702,-82.30169939999999
"[""Hardee's""]",Hardee's,"10840 W Colonial Dr, Ocoee, FL 34761, United States",28.55118,-81.539727
"[""Hardee's""]",Hardee's,"3992 S Babcock St, Melbourne, FL 32901, United States",28.0514093,-80.62217059999999
"[""Hardee's""]",Hardee's,"402 S Tamiami Trail, Ruskin, FL 33570, United States",27.7156168,-82.4334446
"[""Hardee's""]",Hardee's,"36502 FL-54, Zephyrhills, FL 33541, United States",28.2296382,-82.2128748
"[""Hardee's""]",Hardees,"501-505 Golden Isles Pkwy, Hawkinsville, GA 31036, United States",32.2837731,-83.4721177
"[""Hardee's""]",Hardee's,"21 E Coffee St, Hazlehurst, GA 31539, United States",31.8705633,-82.594572
"[""Hardee's""]",Hardee's,"341 Broad St, Hawkinsville, GA 31036, United States",32.28182290000001,-83.4745232
"[""Hardee's""]",Hardee's,"653 S Main St, Baxley, GA 31513, United States",31.7693535,-82.35183289999999
"[""Hardee's""]",Hardee's,"501 S Main St, Swainsboro, GA 30401, United States",32.5860291,-82.32295719999999
"[""Hardee's""]",Hardee's,"1702 E 16th Ave, Cordele, GA 31015, United States",31.9602646,-83.75563369999999
"[""Hardee's""]",Hardee's,"1392 Bowens Mill Rd SW, Douglas, GA 31533, United States",31.4883621,-82.8523171
"[""Hardee's""]",Hardee's,"99 Sandy Run Rd, Bonaire, GA 31005, United States",32.5686408,-83.5933143
"[""Hardee's""]",Hardee's,"421 N Davis Dr, Warner Robins, GA 31093, United States",32.6287397,-83.6134064
"[""Hardee's""]",Hardee's,"922 S Pierce St, Alma, GA 31510, United States",31.5341648,-82.4632663
"[""Hardee's""]",Hardee's,"1014 Gray Hwy, Macon, GA 31211, United States",32.8540672,-83.6192995
"[""Hardee's""]",Hardees Grovetown,"4305 Wrightsboro Rd, Grovetown, GA 30813, United States",33.47492769999999,-82.12955079999999
"[""Hardee's""]",Hardee's,"1504 Sam Nunn Blvd, Perry, GA 31069, United States",32.4736194,-83.74487959999999
"[""Hardee's""]",Hardee's,"318 S Virginia Ave, Tifton, GA 31794, United States",31.4509207,-83.5285303
"[""Hardee's""]",Hardee's,"178 Southwell Blvd, Tifton, GA 31794, United States",31.4156937,-83.5031546
"[""Hardee's""]",Hardee's,"195 Walmart Cir, Sandersville, GA 31082, United States",32.9524554,-82.8094768
"[""Hardee's""]",Hardee's,"242 GA-49, Byron, GA 31008, United States",32.6573081,-83.747068
"[""Hardee's""]",Hardee's,"203 N Main St, Pearson, GA 31642, United States",31.29885879999999,-82.8528111
"[""Hardee's""]",Hardee's,"612 Northside Dr E, Statesboro, GA 30458, United States",32.4383803,-81.76312759999999
"[""Hardee's""]",Hardee's,"115 N Duval St, Claxton, GA 30417, United States",32.16496,-81.9034866
"[""Hardee's""]",Hardee's,"1205 W 19th St S, Newton, IA 50208, United States",41.6880033,-93.0787919
"[""Hardee's""]",Hardee's,"902 S Center St, Marshalltown, IA 50158, United States",42.0374963,-92.91233580000001
"[""Hardee's""]",Hardee's,"1019 West St, Grinnell, IA 50112, United States",41.7454384,-92.72774319999999
"[""Hardee's""]",Hardee's,"1449 E Euclid Ave, Des Moines, IA 50316, United States",41.6273024,-93.59917279999999
"[""Hardee's""]",Hardee's,"1510 SW Tradition Dr, Ankeny, IA 50023, United States",41.70020590000001,-93.6207628
"[""Hardee's""]",Hardee's,"8755 University Ave, Des Moines, IA 50325, United States",41.6008334,-93.73783829999999
"[""Hardee's""]",Hardee's,"118 US-30, Toledo, IA 52342, United States",41.9872735,-92.5808424
"[""Hardee's""]",Hardee's,"915 Army Post Rd, Des Moines, IA 50315, United States",41.5267744,-93.6266735
"[""Hardee's""]",Hardee's,"1400 Industrial Park Road, Ellsworth, IA 50075, United States",42.3115727,-93.5718805
"[""Hardee's""]",Hardee's,"1405 S Lincoln St, Knoxville, IA 50138, United States",41.3075649,-93.10895149999999
"[""Hardee's""]",Hardee's,"300 E Trail Ridge Ave, Indianola, IA 50125, United States",41.384443,-93.55790560000001
"[""Hardee's""]",Hardee's,"805 Franklin St, Waterloo, IA 50703, United States",42.499319,-92.3303396
"[""Hardee's""]",Hardee's,"1410 Flammang Dr, Waterloo, IA 50702, United States",42.4597169,-92.32825779999999
"[""Hardee's""]",Hardee's,"1118 S Clinton St, Albia, IA 52531, United States",41.0166296,-92.80861
"[""Hardee's""]",Hardee's,"1007 N John Wayne Dr, Winterset, IA 50273, United States",41.344187,-94.01276
"[""Hardee's""]",Hardee's,"3505 29th Ave SW, Cedar Rapids, IA 52404, United States",41.9488709,-91.7175381
"[""Hardee's""]",Hardee's,"8295 U.S. Highway 10 W, Missoula, MT 59808, United States",46.9473164,-114.1341617
"[""Hardee's""]",Hardee's,"1919 E Custer Ave, Helena, MT 59602, United States",46.61622560000001,-112.0068763
"[""Hardee's""]",Hardee's,"2404 Central Ave, Billings, MT 59102, United States",45.7693226,-108.5768186
"[""Hardee's""]",Hardee's,"8021 State Ave, Kansas City, KS 66112, United States",39.115978,-94.7665126
"[""Hardee's""]",Hardee's,"3444 S High St, Columbus, OH 43207, United States",39.8915711,-82.9962584
"[""Hardee's""]",Hardee's,"2295 IN-3, North Vernon, IN 47265, United States",39.019148,-85.64033839999999
"[""Hardee's""]",Hardee's,"679 Reagan Ave, Box Elder, SD 57719, United States",44.1203735,-103.0521033
"[""Hardee's""]",Hardee's,"104 9th Ave SE, Watford City, ND 58854, United States",47.7921921,-103.2822309
"[""Hardee's""]",Hardee's,"2000 S Broadway, Minot, ND 58701, United States",48.21015329999999,-101.2967977
"[""Hardee's""]",Hardee's,"10500 Metcalf Ave, Overland Park, KS 66212, United States",38.9380029,-94.66819029999999
"[""Hardee's""]",Hardee's,"1102 Peoria St, Washington, IL 61571, United States",40.7025275,-89.4219842
"[""Hardee's""]",Hardee's,"101 N Main St, East Peoria, IL 61611, United States",40.666855,-89.5801637
"[""Hardee's""]",Hardee's,"105 N 5th St, Pekin, IL 61554, United States",40.5698324,-89.6452169
"[""Hardee's""]",Hardee's,"3505 NE Adams St, Peoria, IL 61603, United States",40.7204995,-89.5573864
"[""Hardee's""]",Hardee's,"507 W Center St, Eureka, IL 61530, United States",40.72138169999999,-89.2785679
"[""Hardee's""]",Hardee's,"3431 N University St, Peoria, IL 61604, United States",40.7296845,-89.61306640000001
"[""Hardee's""]",Hardee's,"5515 S Adams St, Bartonville, IL 61607, United States",40.6543273,-89.64962229999999
"[""Hardee's""]",Hardee's,"8787 Knoxville Ave, Peoria, IL 61615, United States",40.7943574,-89.6067266
"[""Hardee's""]",Hardee's,"3909 W War Memorial Dr, Peoria, IL 61615, United States",40.7709521,-89.6536861
"[""Hardee's""]",Hardee's,"1523 E College Ave, Normal, IL 61761, United States",40.5098896,-88.95761420000001
"[""Hardee's""]",Hardee's,"108 N 4th St, Chillicothe, IL 61523, United States",40.9079418,-89.4919845
"[""Hardee's""]",Hardee's,"539 Woodlawn Rd, Lincoln, IL 62656, United States",40.15740840000001,-89.3746001
"[""Hardee's""]",Hardee's,"638 N Main St, Canton, IL 61520, United States",40.5636869,-90.0356559
"[""Hardee's""]",Hardee's,"307 S Grant St, Clinton, IL 61727, United States",40.1501575,-88.9644893
"[""Hardee's""]",Hardee's,"401 W Dearborn St, Havana, IL 62644, United States",40.2936916,-90.0655017
"[""Hardee's""]",Hardee's,"600 W Jefferson St, Springfield, IL 62702, United States",39.8028134,-89.6629433
"[""Hardee's""]",Hardee's,"1835 E Sangamon Ave, Springfield, IL 62702, United States",39.8314266,-89.6311154
"[""Hardee's""]",Hardee's,"1700 Wabash Ave, Springfield, IL 62704, United States",39.76386979999999,-89.6830801
